Museum,Condition,RTAverage,Caverage,STIAverage,rd,D2s,Lpas4,rc,Volume
W1,CL,3.6,-3.0,0.3,0,1.44,56.09,0,1425.62
W1,CM,2.5,-0.5,0.4,1.14,2.19,53.97,68.74,1425.62
W1,CH,1.5,9.4,0.5,8.43,3.81,50.57,11.01,1425.62
W1,FL,3.9,-3.8,0.3,0,1.26,55.66,0,1425.62
W1,FM,3.1,-2.4,0.3,0,1.6,54.54,0,1425.62
W1,FH,2.9,1.7,0.4,5.44,2.13,52.24,42.46,1425.62
W1,WL,2.8,1.3,0.4,5.2,2.14,52.28,42.34,1425.62
W1,WM,2.1,1.9,0.4,5.77,2.24,51.86,33.5,1425.62
W1,WH,0.7,11.3,0.5,8.16,4.83,48.4,6.51,1425.62
H9 ,CL,3.6,-4.4,0.4,0,0.93,58.17,0,921.63
H9 ,CM,2.0,-1.4,0.4,1.57,1.33,56.02,0,921.63
H9 ,CH,1.1,6.9,0.5,10.13,2.89,52.19,38.98,921.63
H9 ,FL,2.8,-3.3,0.4,0,0.91,58.86,0,921.63
H9 ,FM,2.2,-2.3,0.4,0,1.44,55.98,0,921.63
H9 ,FH,1.4,2.3,0.5,7.12,1.89,54.11,0,921.63
H9 ,WL,2.8,-3.4,0.4,0,1.12,57.3,0,921.63
H9 ,WM,2.5,-2.4,0.4,0,1.17,56.44,0,921.63
H9 ,WH,0.7,8.2,0.5,10.29,3.01,51.06,16.12,921.63
M1,CL,2.1,-3.2,0.4,1.86,1.68,57.19,0,374.75625
M1,CM,1.1,0.4,0.5,8.39,2.32,55.08,81.53,374.75625
M1,CH,0.8,8.3,0.6,11.62,3.46,51.54,14.81,374.75625
M1,FL,3.0,-5.3,0.4,0.45,1.24,59.05,0,374.75625
M1,FM,1.7,-2.6,0.5,2.5,2.04,56.14,0,374.75625
M1,FH,0.8,3.9,0.5,10.1,2.94,53.94,32.97,374.75625
M1,WL,1.8,-3.0,0.4,3.94,1.83,57.56,0,374.75625
M1,WM,1.7,-2.7,0.5,4.34,2.02,56.83,0,374.75625
M1,WH,0.8,3.2,0.5,8.36,3.72,51.81,14.22,374.75625
M2,CL,2.2,-4.2,0.4,0.9,2.66,56.68,84.01,352.04
M2,CM,1.2,-0.6,0.5,6.32,3.45,54.6,27.5,352.04
M2,CH,0.8,7.4,0.5,9.09,4.43,50.2,9.03,352.04
M2,FL,3.1,-5.0,0.3,0,2.19,58.67,0,352.04
M2,FM,1.7,-4.1,0.4,2.88,2.85,56.46,65.14,352.04
M2,FH,0.8,3.0,0.5,8.03,3.96,53.59,17.98,352.04
M2,WL,1.8,-4.2,0.4,2.73,2.78,56.75,75.06,352.04
M2,WM,1.8,-4.1,0.4,2.87,2.83,56.51,67.17,352.04
M2,WH,1.0,0.9,0.5,7.13,4.09,52.66,14.65,352.04
W2,CL,2.4,0.3,0.4,0,1.45,58.54,2626.2,543.15
W2,CM,1.7,3.0,0.5,3.92,1.92,56.72,273.97,543.15
W2,CH,1.9,11.7,0.6,9.42,3.23,52.69,20.84,543.15
W2,FL,5.2,-6.1,0.3,0,1.24,60.51,22649.9,543.15
W2,FM,2.7,-2.8,0.4,0,1.65,58.09,968.05,543.15
W2,FH,2.2,3.5,0.6,8.76,2.3,54.83,77.58,543.15
W2,WL,2.5,-3.5,0.4,0,1.4,58.47,3199.59,543.15
W2,WM,2.4,-3.0,0.4,0,1.75,58.12,724.91,543.15
W2,WH,1.1,3.4,0.5,6.98,2.78,52.57,26.44,543.15
W3,CL,2.7,-2.1,0.4,0,0.33,56.35,1.02E+11,799.23
W3,CM,2.6,-1.4,0.4,0.47,0.83,56.38,51015.96,799.23
W3,CH,1.2,4.4,0.5,8.59,2.29,52.91,43.65,799.23
W3,FL,3.1,-2.9,0.4,0,0.68,57.11,919350.02,799.23
W3,FM,2.5,-1.4,0.4,0.08,0.82,55.9,38531.51,799.23
W3,FH,1.3,3.2,0.5,9.2,1.01,53.68,1552.14,799.23
W3,WL,2.8,-2.6,0.4,0,0.48,56.47,53258586.43,799.23
W3,WM,2.6,-1.4,0.4,0.47,0.83,56.38,51015.59,799.23
W3,WH,1.1,5.7,0.5,9.09,2,51.64,39.95,799.23
M12,CL,2.9,-4.3,0.4,1.67,1.83,56.02,259.81,985.76
M12,CM,1.4,-0.7,0.4,5.94,3.03,53.7,29.36,985.76
M12,CH,1.3,8.7,0.5,9.62,4.87,50.95,9.32,985.76
M12,FL,2.7,-4.2,0.4,1.85,1.94,56.04,207.08,985.76
M12,FM,1.7,-1.9,0.4,4.79,2.56,54.33,49.91,985.76
M12,FH,1.1,4.4,0.5,8.06,3.9,52.08,14.06,985.76
M12,WL,1.9,-2.6,0.4,3.89,2.29,54.99,81.81,985.76
M12,WM,1.9,-2.3,0.4,4.17,2.41,54.62,63.45,985.76
M12,WH,1.3,2.3,0.5,7.13,3.88,51.53,12.85,985.76
M9,CL,1.9,-2.1,0.4,3.01,1.89,56.36,259.93,1398.21
M9,CM,1.4,-0.5,0.5,5.16,2.28,55.03,84.14,1398.21
M9,CH,0.8,10.6,0.6,10.7,3.94,51.17,11.82,1398.21
M9,FL,1.5,-1.3,0.4,4.72,2.21,55.76,117.53,1398.21
M9,FM,1.2,0.1,0.5,6.39,2.68,54.98,52.94,1398.21
M9,FH,0.8,4.4,0.5,8.57,3.23,53.09,22.69,1398.21
M9,WL,1.2,0.1,0.5,6.86,2.65,54.8,52.16,1398.21
M9,WM,1.1,0.6,0.5,7.2,2.77,54.45,42.43,1398.21
M9,WH,0.7,7.2,0.5,8.95,4.84,50.48,8.76,1398.21
